ENSMUSG00000083764	ENSMUST00000118450
ENSMUSG00000066315	ENSMUST00000120234
ENSMUSG00000022114	ENSMUST00000022709
ENSMUSG00000050799	ENSMUST00000052776
ENSMUSG00000099852	ENSMUST00000188301
ENSMUSG00000091905	ENSMUST00000167639
ENSMUSG00000091900	ENSMUST00000111755
ENSMUSG00000091902	ENSMUST00000167622
ENSMUSG00000051412	ENSMUST00000051100
ENSMUSG00000051414	ENSMUST00000058411
ENSMUSG00000064816	ENSMUST00000082882
ENSMUSG00000064814	ENSMUST00000082880
ENSMUSG00000064811	ENSMUST00000082877
ENSMUSG00000063842	ENSMUST00000073765
ENSMUSG00000063849	ENSMUST00000085709
ENSMUSG00000064818	ENSMUST00000082884
ENSMUSG00000046173	ENSMUST00000057190
ENSMUSG00000057710	ENSMUST00000112841
ENSMUSG00000025461	ENSMUST00000084460
ENSMUSG00000093943	ENSMUST00000102021
ENSMUSG00000025467	ENSMUST00000026540
ENSMUSG00000102049	ENSMUST00000190574
ENSMUSG00000102048	ENSMUST00000186816
ENSMUSG00000102046	ENSMUST00000188324
ENSMUSG00000102045	ENSMUST00000186443
ENSMUSG00000102044	ENSMUST00000187380
ENSMUSG00000102043	ENSMUST00000188409
ENSMUSG00000102042	ENSMUST00000189038
ENSMUSG00000102041	ENSMUST00000188369
ENSMUSG00000101243	ENSMUST00000190026
ENSMUSG00000089066	ENSMUST00000158441
ENSMUSG00000052291	ENSMUST00000064101
ENSMUSG00000052295	ENSMUST00000064097
ENSMUSG00000095958	ENSMUST00000103657
ENSMUSG00000095959	ENSMUST00000179430
ENSMUSG00000095957	ENSMUST00000060601
ENSMUSG00000095955	ENSMUST00000179775
ENSMUSG00000095952	ENSMUST00000180084
ENSMUSG00000095953	ENSMUST00000179160
ENSMUSG00000095951	ENSMUST00000179603
ENSMUSG00000067545	ENSMUST00000087857
ENSMUSG00000067547	ENSMUST00000146631
ENSMUSG00000067543	ENSMUST00000087853
ENSMUSG00000084092	ENSMUST00000121631
ENSMUSG00000042401	ENSMUST00000048630
ENSMUSG00000065036	ENSMUST00000083102
ENSMUSG00000065037	ENSMUST00000083103
ENSMUSG00000065034	ENSMUST00000083100
ENSMUSG00000106353	ENSMUST00000199110
ENSMUSG00000065030	ENSMUST00000083096
ENSMUSG00000065031	ENSMUST00000083097
ENSMUSG00000068259	ENSMUST00000089490
ENSMUSG00000035936	ENSMUST00000037615
ENSMUSG00000035932	ENSMUST00000048478
ENSMUSG00000035933	ENSMUST00000036862
ENSMUSG00000035930	ENSMUST00000109222
ENSMUSG00000097889	ENSMUST00000181866
ENSMUSG00000097887	ENSMUST00000180443
ENSMUSG00000097884	ENSMUST00000180729
ENSMUSG00000097883	ENSMUST00000181115
ENSMUSG00000091019	ENSMUST00000169235
ENSMUSG00000081253	ENSMUST00000117684
ENSMUSG00000091013	ENSMUST00000169123
ENSMUSG00000091012	ENSMUST00000074381
ENSMUSG00000091011	ENSMUST00000164622
ENSMUSG00000091010	ENSMUST00000170983
ENSMUSG00000091017	ENSMUST00000171798
ENSMUSG00000102959	ENSMUST00000192763
ENSMUSG00000102958	ENSMUST00000195507
ENSMUSG00000102955	ENSMUST00000194614
ENSMUSG00000102957	ENSMUST00000191793
ENSMUSG00000102956	ENSMUST00000195266
ENSMUSG00000102951	ENSMUST00000193817
ENSMUSG00000102950	ENSMUST00000192441
ENSMUSG00000102953	ENSMUST00000192133
ENSMUSG00000102952	ENSMUST00000195638
ENSMUSG00000086900	ENSMUST00000136196
ENSMUSG00000020170	ENSMUST00000020381
ENSMUSG00000056078	ENSMUST00000025685
ENSMUSG00000039901	ENSMUST00000045396
ENSMUSG00000031450	ENSMUST00000033827
ENSMUSG00000019808	ENSMUST00000019944
ENSMUSG00000033931	ENSMUST00000045994
ENSMUSG00000070263	ENSMUST00000093750
ENSMUSG00000103602	ENSMUST00000195604
ENSMUSG00000103603	ENSMUST00000195303
ENSMUSG00000103600	ENSMUST00000193914
ENSMUSG00000103607	ENSMUST00000195835
ENSMUSG00000103608	ENSMUST00000193163
ENSMUSG00000103609	ENSMUST00000192517
ENSMUSG00000100557	ENSMUST00000189036
ENSMUSG00000100556	ENSMUST00000191531
ENSMUSG00000100555	ENSMUST00000186797
ENSMUSG00000100554	ENSMUST00000190885
ENSMUSG00000090824	ENSMUST00000168341
ENSMUSG00000100551	ENSMUST00000187109
ENSMUSG00000100550	ENSMUST00000185313
ENSMUSG00000054431	ENSMUST00000067503
ENSMUSG00000096379	ENSMUST00000179309
ENSMUSG00000096373	ENSMUST00000075108
ENSMUSG00000096371	ENSMUST00000178930
ENSMUSG00000096377	ENSMUST00000177794
ENSMUSG00000096375	ENSMUST00000178379
ENSMUSG00000096374	ENSMUST00000119138
ENSMUSG00000101605	ENSMUST00000190995
ENSMUSG00000101606	ENSMUST00000190184
ENSMUSG00000101607	ENSMUST00000190351
ENSMUSG00000101601	ENSMUST00000190631
ENSMUSG00000101602	ENSMUST00000187614
ENSMUSG00000101608	ENSMUST00000187008
ENSMUSG00000101609	ENSMUST00000185789
ENSMUSG00000104078	ENSMUST00000192895
ENSMUSG00000104079	ENSMUST00000192224
ENSMUSG00000101715	ENSMUST00000191596
ENSMUSG00000104074	ENSMUST00000195159
ENSMUSG00000104075	ENSMUST00000193978
ENSMUSG00000104076	ENSMUST00000191917
ENSMUSG00000104077	ENSMUST00000194642
ENSMUSG00000104070	ENSMUST00000193343
ENSMUSG00000104071	ENSMUST00000194276
ENSMUSG00000104072	ENSMUST00000194002
ENSMUSG00000104073	ENSMUST00000195773
ENSMUSG00000104386	ENSMUST00000194254
ENSMUSG00000104384	ENSMUST00000195487
ENSMUSG00000104385	ENSMUST00000194393
ENSMUSG00000104382	ENSMUST00000192586
ENSMUSG00000027120	ENSMUST00000028533
ENSMUSG00000104380	ENSMUST00000193468
ENSMUSG00000104381	ENSMUST00000194882
ENSMUSG00000104388	ENSMUST00000193199
ENSMUSG00000104389	ENSMUST00000191729
ENSMUSG00000095455	ENSMUST00000178315
ENSMUSG00000100430	ENSMUST00000185460
ENSMUSG00000074547	ENSMUST00000092523
ENSMUSG00000105389	ENSMUST00000198619
ENSMUSG00000105388	ENSMUST00000197973
ENSMUSG00000105385	ENSMUST00000200375
ENSMUSG00000105384	ENSMUST00000197506
ENSMUSG00000105387	ENSMUST00000198696
ENSMUSG00000105386	ENSMUST00000197234
ENSMUSG00000105381	ENSMUST00000199151
ENSMUSG00000105380	ENSMUST00000200663
ENSMUSG00000105382	ENSMUST00000200032
ENSMUSG00000038742	ENSMUST00000043726
ENSMUSG00000046330	ENSMUST00000059980
ENSMUSG00000042821	ENSMUST00000052631
ENSMUSG00000104922	ENSMUST00000200611
ENSMUSG00000104923	ENSMUST00000198713
ENSMUSG00000104920	ENSMUST00000199108
ENSMUSG00000104921	ENSMUST00000199928
ENSMUSG00000104926	ENSMUST00000198991
ENSMUSG00000104927	ENSMUST00000197818
ENSMUSG00000104924	ENSMUST00000200310
ENSMUSG00000104925	ENSMUST00000198850
ENSMUSG00000104928	ENSMUST00000197839
ENSMUSG00000104929	ENSMUST00000200233
ENSMUSG00000043192	ENSMUST00000051687
ENSMUSG00000076371	ENSMUST00000102416
ENSMUSG00000076370	ENSMUST00000102415
ENSMUSG00000076372	ENSMUST00000102417
ENSMUSG00000076377	ENSMUST00000102422
ENSMUSG00000076376	ENSMUST00000102421
ENSMUSG00000076379	ENSMUST00000102424
ENSMUSG00000105037	ENSMUST00000200458
ENSMUSG00000105035	ENSMUST00000197505
ENSMUSG00000105034	ENSMUST00000197867
ENSMUSG00000105033	ENSMUST00000198390
ENSMUSG00000105032	ENSMUST00000198531
ENSMUSG00000105031	ENSMUST00000199823
ENSMUSG00000105030	ENSMUST00000200573
ENSMUSG00000105039	ENSMUST00000198586
ENSMUSG00000105038	ENSMUST00000198091
ENSMUSG00000010936	ENSMUST00000034190
ENSMUSG00000046341	ENSMUST00000120560
ENSMUSG00000046345	ENSMUST00000093183
ENSMUSG00000100435	ENSMUST00000185695
ENSMUSG00000074991	ENSMUST00000114341
ENSMUSG00000077776	ENSMUST00000104588
ENSMUSG00000077777	ENSMUST00000104589
ENSMUSG00000077772	ENSMUST00000104584
ENSMUSG00000077771	ENSMUST00000104583
ENSMUSG00000100436	ENSMUST00000189807
ENSMUSG00000045694	ENSMUST00000154056
ENSMUSG00000048411	ENSMUST00000059937
ENSMUSG00000102565	ENSMUST00000192836
ENSMUSG00000102566	ENSMUST00000194475
ENSMUSG00000102567	ENSMUST00000194019
ENSMUSG00000102561	ENSMUST00000193733
ENSMUSG00000088108	ENSMUST00000157483
ENSMUSG00000102568	ENSMUST00000191740
ENSMUSG00000102569	ENSMUST00000195873
ENSMUSG00000042312	ENSMUST00000048138
ENSMUSG00000031004	ENSMUST00000033310
ENSMUSG00000082027	ENSMUST00000119111
ENSMUSG00000081374	ENSMUST00000117724
ENSMUSG00000084909	ENSMUST00000124575
ENSMUSG00000084908	ENSMUST00000131588
ENSMUSG00000084907	ENSMUST00000145383
ENSMUSG00000084906	ENSMUST00000148637
ENSMUSG00000084905	ENSMUST00000152849
ENSMUSG00000084904	ENSMUST00000146644
ENSMUSG00000084902	ENSMUST00000144914
ENSMUSG00000039099	ENSMUST00000035622
ENSMUSG00000032299	ENSMUST00000065358
ENSMUSG00000039098	ENSMUST00000041011
ENSMUSG00000032290	ENSMUST00000034832
ENSMUSG00000032291	ENSMUST00000034830
ENSMUSG00000081996	ENSMUST00000117092
ENSMUSG00000081995	ENSMUST00000119399
ENSMUSG00000044258	ENSMUST00000021880
ENSMUSG00000081993	ENSMUST00000118211
ENSMUSG00000081992	ENSMUST00000119822
ENSMUSG00000081991	ENSMUST00000119936
ENSMUSG00000044250	ENSMUST00000059433
ENSMUSG00000081999	ENSMUST00000120980
ENSMUSG00000081998	ENSMUST00000119646
ENSMUSG00000089297	ENSMUST00000158672
ENSMUSG00000058357	ENSMUST00000170777
ENSMUSG00000071207	ENSMUST00000076538
ENSMUSG00000058355	ENSMUST00000080536
ENSMUSG00000058354	ENSMUST00000023788
ENSMUSG00000050128	ENSMUST00000056408
ENSMUSG00000088810	ENSMUST00000158185
ENSMUSG00000088813	ENSMUST00000158188
ENSMUSG00000088812	ENSMUST00000158187
ENSMUSG00000088814	ENSMUST00000158189
ENSMUSG00000088817	ENSMUST00000158192
ENSMUSG00000088816	ENSMUST00000158191
ENSMUSG00000088819	ENSMUST00000158194
ENSMUSG00000088818	ENSMUST00000158193
ENSMUSG00000098757	ENSMUST00000183500
ENSMUSG00000086418	ENSMUST00000137186
ENSMUSG00000082715	ENSMUST00000118176
ENSMUSG00000086413	ENSMUST00000141637
ENSMUSG00000086411	ENSMUST00000142374
ENSMUSG00000086417	ENSMUST00000151670
ENSMUSG00000082716	ENSMUST00000118086
ENSMUSG00000086415	ENSMUST00000150617
ENSMUSG00000082717	ENSMUST00000118298
ENSMUSG00000059408	ENSMUST00000075296
ENSMUSG00000059409	ENSMUST00000002839
ENSMUSG00000059406	ENSMUST00000105333
ENSMUSG00000073458	ENSMUST00000080647
ENSMUSG00000082711	ENSMUST00000118562
ENSMUSG00000075194	ENSMUST00000099899
ENSMUSG00000075195	ENSMUST00000099900
ENSMUSG00000075196	ENSMUST00000099901
ENSMUSG00000075197	ENSMUST00000099902
ENSMUSG00000075190	ENSMUST00000099895
ENSMUSG00000098751	ENSMUST00000184349
ENSMUSG00000075192	ENSMUST00000099897
ENSMUSG00000075193	ENSMUST00000099898
ENSMUSG00000082713	ENSMUST00000121381
ENSMUSG00000075198	ENSMUST00000099904
ENSMUSG00000075199	ENSMUST00000099905
ENSMUSG00000041754	ENSMUST00000048065
ENSMUSG00000088216	ENSMUST00000157591
ENSMUSG00000047759	ENSMUST00000058652
ENSMUSG00000047751	ENSMUST00000168457
ENSMUSG00000088211	ENSMUST00000157586
ENSMUSG00000048562	ENSMUST00000063918
ENSMUSG00000051652	ENSMUST00000057608
ENSMUSG00000027702	ENSMUST00000029252
ENSMUSG00000056600	ENSMUST00000070808
ENSMUSG00000057551	ENSMUST00000079042
ENSMUSG00000080718	ENSMUST00000119317
ENSMUSG00000080719	ENSMUST00000121192
ENSMUSG00000080716	ENSMUST00000119017
ENSMUSG00000080714	ENSMUST00000118625
ENSMUSG00000080715	ENSMUST00000120054
ENSMUSG00000080712	ENSMUST00000117558
ENSMUSG00000080713	ENSMUST00000121136
ENSMUSG00000080710	ENSMUST00000117477
ENSMUSG00000080711	ENSMUST00000122397
ENSMUSG00000070335	ENSMUST00000093936
ENSMUSG00000099797	ENSMUST00000188584
ENSMUSG00000085298	ENSMUST00000145871
ENSMUSG00000085290	ENSMUST00000152628
ENSMUSG00000085292	ENSMUST00000134971
ENSMUSG00000085293	ENSMUST00000142249
ENSMUSG00000070334	ENSMUST00000093935
ENSMUSG00000082417	ENSMUST00000120590
ENSMUSG00000098697	ENSMUST00000183977
ENSMUSG00000082415	ENSMUST00000120887
ENSMUSG00000082414	ENSMUST00000117125
ENSMUSG00000082412	ENSMUST00000119675
ENSMUSG00000098690	ENSMUST00000184884
ENSMUSG00000098691	ENSMUST00000183533
ENSMUSG00000046805	ENSMUST00000081035
ENSMUSG00000046807	ENSMUST00000051129
ENSMUSG00000082419	ENSMUST00000119608
ENSMUSG00000082418	ENSMUST00000117079
ENSMUSG00000089779	ENSMUST00000161407
ENSMUSG00000089771	ENSMUST00000161939
ENSMUSG00000089776	ENSMUST00000160605
ENSMUSG00000089775	ENSMUST00000160327
ENSMUSG00000015932	ENSMUST00000103172
ENSMUSG00000098033	ENSMUST00000182285
ENSMUSG00000098030	ENSMUST00000182716
ENSMUSG00000098031	ENSMUST00000183000
ENSMUSG00000098036	ENSMUST00000182945
ENSMUSG00000098037	ENSMUST00000182585
ENSMUSG00000098035	ENSMUST00000182995
ENSMUSG00000098038	ENSMUST00000183069
ENSMUSG00000098039	ENSMUST00000182470
ENSMUSG00000065546	ENSMUST00000083612
ENSMUSG00000065547	ENSMUST00000083613
ENSMUSG00000065544	ENSMUST00000083610
ENSMUSG00000065542	ENSMUST00000083608
ENSMUSG00000065543	ENSMUST00000083609
ENSMUSG00000065540	ENSMUST00000083606
ENSMUSG00000065541	ENSMUST00000083607
ENSMUSG00000065548	ENSMUST00000083614
ENSMUSG00000065549	ENSMUST00000083615
ENSMUSG00000081144	ENSMUST00000121053
ENSMUSG00000081145	ENSMUST00000120713
ENSMUSG00000081146	ENSMUST00000120075
ENSMUSG00000081147	ENSMUST00000117850
ENSMUSG00000081141	ENSMUST00000118039
ENSMUSG00000081142	ENSMUST00000119137
ENSMUSG00000081143	ENSMUST00000064305
ENSMUSG00000081148	ENSMUST00000121241
ENSMUSG00000106656	ENSMUST00000199745
ENSMUSG00000106654	ENSMUST00000199229
ENSMUSG00000106655	ENSMUST00000198795
ENSMUSG00000085870	ENSMUST00000146346
ENSMUSG00000085871	ENSMUST00000142634
ENSMUSG00000106650	ENSMUST00000200424
ENSMUSG00000094555	ENSMUST00000176578
ENSMUSG00000094554	ENSMUST00000180356
ENSMUSG00000094557	ENSMUST00000080603
ENSMUSG00000085878	ENSMUST00000134494
ENSMUSG00000094550	ENSMUST00000180153
ENSMUSG00000106659	ENSMUST00000196278
ENSMUSG00000091318	ENSMUST00000171322
ENSMUSG00000074442	ENSMUST00000098896
ENSMUSG00000083438	ENSMUST00000119588
ENSMUSG00000083439	ENSMUST00000121919
ENSMUSG00000083436	ENSMUST00000121824
ENSMUSG00000083434	ENSMUST00000117861
ENSMUSG00000083435	ENSMUST00000119516
ENSMUSG00000083432	ENSMUST00000118167
ENSMUSG00000091315	ENSMUST00000164501
ENSMUSG00000083430	ENSMUST00000118683
ENSMUSG00000083431	ENSMUST00000122434
ENSMUSG00000093785	ENSMUST00000176073
ENSMUSG00000093784	ENSMUST00000177209
ENSMUSG00000093787	ENSMUST00000177419
ENSMUSG00000093781	ENSMUST00000176694
ENSMUSG00000093780	ENSMUST00000177427
ENSMUSG00000093782	ENSMUST00000177110
ENSMUSG00000108540	ENSMUST00000206199
ENSMUSG00000108541	ENSMUST00000205496
ENSMUSG00000108542	ENSMUST00000206671
ENSMUSG00000108543	ENSMUST00000206197
ENSMUSG00000108544	ENSMUST00000206238
ENSMUSG00000108546	ENSMUST00000206970
ENSMUSG00000108547	ENSMUST00000206874
ENSMUSG00000045867	ENSMUST00000053594
ENSMUSG00000099129	ENSMUST00000183519
ENSMUSG00000099128	ENSMUST00000184055
ENSMUSG00000099127	ENSMUST00000184892
ENSMUSG00000099126	ENSMUST00000185021
ENSMUSG00000099125	ENSMUST00000184007
ENSMUSG00000099124	ENSMUST00000184773
ENSMUSG00000099123	ENSMUST00000184733
ENSMUSG00000099120	ENSMUST00000184217
ENSMUSG00000089398	ENSMUST00000158773
ENSMUSG00000067949	ENSMUST00000177291
ENSMUSG00000100711	ENSMUST00000189232
ENSMUSG00000100710	ENSMUST00000185922
ENSMUSG00000100713	ENSMUST00000105143
ENSMUSG00000100712	ENSMUST00000186508
ENSMUSG00000067941	ENSMUST00000088809
ENSMUSG00000067942	ENSMUST00000088811
ENSMUSG00000100719	ENSMUST00000187228
ENSMUSG00000100718	ENSMUST00000189902
ENSMUSG00000095202	ENSMUST00000180253
ENSMUSG00000095203	ENSMUST00000118584
ENSMUSG00000095200	ENSMUST00000103496
ENSMUSG00000095201	ENSMUST00000165330
ENSMUSG00000095206	ENSMUST00000169322
ENSMUSG00000095207	ENSMUST00000177766
ENSMUSG00000095205	ENSMUST00000175580
ENSMUSG00000095209	ENSMUST00000174941
ENSMUSG00000021631	ENSMUST00000061311
ENSMUSG00000096579	ENSMUST00000170414
ENSMUSG00000096578	ENSMUST00000177598
ENSMUSG00000099788	ENSMUST00000187030
ENSMUSG00000099783	ENSMUST00000186991
ENSMUSG00000099782	ENSMUST00000189346
ENSMUSG00000099781	ENSMUST00000188903
ENSMUSG00000099787	ENSMUST00000072632
ENSMUSG00000099784	ENSMUST00000188773
ENSMUSG00000101448	ENSMUST00000187687
ENSMUSG00000101442	ENSMUST00000185382
ENSMUSG00000101443	ENSMUST00000191243
ENSMUSG00000101441	ENSMUST00000189365
ENSMUSG00000101447	ENSMUST00000190006
ENSMUSG00000101445	ENSMUST00000186300
ENSMUSG00000107299	ENSMUST00000200735
ENSMUSG00000107298	ENSMUST00000201576
ENSMUSG00000107291	ENSMUST00000201115
ENSMUSG00000107290	ENSMUST00000201848
ENSMUSG00000107292	ENSMUST00000201272
ENSMUSG00000107295	ENSMUST00000201249
ENSMUSG00000107294	ENSMUST00000202849
ENSMUSG00000107296	ENSMUST00000201067
ENSMUSG00000054141	ENSMUST00000066997
ENSMUSG00000092661	ENSMUST00000174920
ENSMUSG00000092660	ENSMUST00000174919
ENSMUSG00000092664	ENSMUST00000174923
ENSMUSG00000092666	ENSMUST00000174925
ENSMUSG00000003541	ENSMUST00000003635
ENSMUSG00000099879	ENSMUST00000185808
ENSMUSG00000099878	ENSMUST00000188544
ENSMUSG00000099875	ENSMUST00000121422
ENSMUSG00000099874	ENSMUST00000187926
ENSMUSG00000099876	ENSMUST00000188485
ENSMUSG00000099871	ENSMUST00000189352
ENSMUSG00000099870	ENSMUST00000188426
ENSMUSG00000099873	ENSMUST00000186623
ENSMUSG00000099872	ENSMUST00000189831
ENSMUSG00000101199	ENSMUST00000189312
ENSMUSG00000101194	ENSMUST00000191590
ENSMUSG00000101195	ENSMUST00000186942
ENSMUSG00000071434	ENSMUST00000095874
ENSMUSG00000079170	ENSMUST00000127918
ENSMUSG00000079171	ENSMUST00000136950
ENSMUSG00000079174	ENSMUST00000111075
ENSMUSG00000079175	ENSMUST00000111107
ENSMUSG00000103457	ENSMUST00000193816
ENSMUSG00000015484	ENSMUST00000015628
ENSMUSG00000033717	ENSMUST00000036700
ENSMUSG00000082134	ENSMUST00000117309
ENSMUSG00000045055	ENSMUST00000059546
ENSMUSG00000050244	ENSMUST00000059270
ENSMUSG00000000567	ENSMUST00000000579
ENSMUSG00000101351	ENSMUST00000187821
ENSMUSG00000061603	ENSMUST00000095737
ENSMUSG00000079007	ENSMUST00000000718
ENSMUSG00000062235	ENSMUST00000058881
ENSMUSG00000105743	ENSMUST00000199259
ENSMUSG00000101358	ENSMUST00000186781
ENSMUSG00000101359	ENSMUST00000190920
ENSMUSG00000041415	ENSMUST00000041987
ENSMUSG00000095850	ENSMUST00000178121
ENSMUSG00000105635	ENSMUST00000198558
ENSMUSG00000105634	ENSMUST00000199986
ENSMUSG00000105637	ENSMUST00000198434
ENSMUSG00000105636	ENSMUST00000199177
ENSMUSG00000105630	ENSMUST00000198756
ENSMUSG00000105633	ENSMUST00000200135
ENSMUSG00000093207	ENSMUST00000175466
ENSMUSG00000093208	ENSMUST00000175467
ENSMUSG00000105639	ENSMUST00000198691
ENSMUSG00000105638	ENSMUST00000195936
ENSMUSG00000106717	ENSMUST00000200853
ENSMUSG00000003198	ENSMUST00000054780
ENSMUSG00000103547	ENSMUST00000192353
ENSMUSG00000094964	ENSMUST00000178818
ENSMUSG00000094965	ENSMUST00000158590
ENSMUSG00000106714	ENSMUST00000201584
ENSMUSG00000094960	ENSMUST00000178656
ENSMUSG00000094962	ENSMUST00000179544
ENSMUSG00000094963	ENSMUST00000180326
ENSMUSG00000106713	ENSMUST00000201573
ENSMUSG00000094968	ENSMUST00000178780
ENSMUSG00000094969	ENSMUST00000178795
ENSMUSG00000106712	ENSMUST00000201126
ENSMUSG00000064992	ENSMUST00000083058
ENSMUSG00000064994	ENSMUST00000083060
ENSMUSG00000064995	ENSMUST00000083061
ENSMUSG00000022705	ENSMUST00000023390
ENSMUSG00000101368	ENSMUST00000186505
ENSMUSG00000037130	ENSMUST00000041398
ENSMUSG00000038357	ENSMUST00000112022
ENSMUSG00000064793	ENSMUST00000082859
ENSMUSG00000103549	ENSMUST00000194028
ENSMUSG00000053641	ENSMUST00000038890
ENSMUSG00000020411	ENSMUST00000020679
ENSMUSG00000028668	ENSMUST00000030427
ENSMUSG00000064797	ENSMUST00000082863
ENSMUSG00000028661	ENSMUST00000030420
ENSMUSG00000102368	ENSMUST00000193820
ENSMUSG00000102369	ENSMUST00000194340
ENSMUSG00000102362	ENSMUST00000194514
ENSMUSG00000102363	ENSMUST00000192693
ENSMUSG00000102360	ENSMUST00000194609
ENSMUSG00000102366	ENSMUST00000193531
ENSMUSG00000102364	ENSMUST00000194257
ENSMUSG00000102365	ENSMUST00000192016
ENSMUSG00000107901	ENSMUST00000204562
ENSMUSG00000107900	ENSMUST00000203096
ENSMUSG00000107903	ENSMUST00000203868
ENSMUSG00000107902	ENSMUST00000205146
ENSMUSG00000107905	ENSMUST00000203032
ENSMUSG00000107904	ENSMUST00000204977
ENSMUSG00000107907	ENSMUST00000203207
ENSMUSG00000107906	ENSMUST00000122096
ENSMUSG00000107909	ENSMUST00000204670
ENSMUSG00000107908	ENSMUST00000203219
ENSMUSG00000089153	ENSMUST00000158528
ENSMUSG00000089152	ENSMUST00000158527
ENSMUSG00000105150	ENSMUST00000197465
ENSMUSG00000062901	ENSMUST00000023509
ENSMUSG00000097535	ENSMUST00000180870
ENSMUSG00000062905	ENSMUST00000079584
ENSMUSG00000089155	ENSMUST00000158530
ENSMUSG00000096576	ENSMUST00000095509
ENSMUSG00000087129	ENSMUST00000154065
ENSMUSG00000103108	ENSMUST00000194541
ENSMUSG00000087121	ENSMUST00000151645
ENSMUSG00000103107	ENSMUST00000192212
ENSMUSG00000103106	ENSMUST00000191992
ENSMUSG00000103101	ENSMUST00000194827
ENSMUSG00000087125	ENSMUST00000151782
ENSMUSG00000103102	ENSMUST00000194356
ENSMUSG00000025169	ENSMUST00000026169
ENSMUSG00000052488	ENSMUST00000079510
ENSMUSG00000032051	ENSMUST00000034552
ENSMUSG00000039007	ENSMUST00000042167
ENSMUSG00000032056	ENSMUST00000114431
ENSMUSG00000068428	ENSMUST00000089832
ENSMUSG00000068426	ENSMUST00000089830
ENSMUSG00000053287	ENSMUST00000065626
ENSMUSG00000107046	ENSMUST00000201086
ENSMUSG00000073909	ENSMUST00000098155
ENSMUSG00000073908	ENSMUST00000098154
ENSMUSG00000100019	ENSMUST00000189811
ENSMUSG00000073901	ENSMUST00000098142
ENSMUSG00000073900	ENSMUST00000098141
ENSMUSG00000021423	ENSMUST00000021860
ENSMUSG00000073902	ENSMUST00000184540
ENSMUSG00000050377	ENSMUST00000051756
ENSMUSG00000073907	ENSMUST00000098153
ENSMUSG00000073906	ENSMUST00000098152
ENSMUSG00000086659	ENSMUST00000155885
ENSMUSG00000086658	ENSMUST00000125121
ENSMUSG00000090624	ENSMUST00000172394
ENSMUSG00000086653	ENSMUST00000140319
ENSMUSG00000086652	ENSMUST00000151051
ENSMUSG00000086655	ENSMUST00000127792
ENSMUSG00000086656	ENSMUST00000129559
ENSMUSG00000100453	ENSMUST00000187970
ENSMUSG00000100450	ENSMUST00000188406
ENSMUSG00000100451	ENSMUST00000191457
ENSMUSG00000100454	ENSMUST00000188810
ENSMUSG00000100455	ENSMUST00000190224
ENSMUSG00000100458	ENSMUST00000118335
ENSMUSG00000107048	ENSMUST00000200678
ENSMUSG00000100017	ENSMUST00000186474
ENSMUSG00000100014	ENSMUST00000185385
ENSMUSG00000076999	ENSMUST00000103811
ENSMUSG00000086381	ENSMUST00000124572
ENSMUSG00000087295	ENSMUST00000147795
ENSMUSG00000086387	ENSMUST00000124953
ENSMUSG00000086386	ENSMUST00000145338
ENSMUSG00000086385	ENSMUST00000134206
ENSMUSG00000086389	ENSMUST00000135144
ENSMUSG00000088282	ENSMUST00000157657
ENSMUSG00000088283	ENSMUST00000157658
ENSMUSG00000077113	ENSMUST00000103925
ENSMUSG00000077110	ENSMUST00000103922
ENSMUSG00000077111	ENSMUST00000103923
ENSMUSG00000077119	ENSMUST00000103931
ENSMUSG00000048230	ENSMUST00000058643
ENSMUSG00000048236	ENSMUST00000106755
ENSMUSG00000101948	ENSMUST00000185826
ENSMUSG00000101947	ENSMUST00000190024
ENSMUSG00000086089	ENSMUST00000155987
ENSMUSG00000072693	ENSMUST00000100848
ENSMUSG00000030543	ENSMUST00000107394
ENSMUSG00000030544	ENSMUST00000032760
ENSMUSG00000104225	ENSMUST00000191880
ENSMUSG00000104224	ENSMUST00000194562
ENSMUSG00000104227	ENSMUST00000193464
ENSMUSG00000104226	ENSMUST00000194219
ENSMUSG00000104221	ENSMUST00000194535
ENSMUSG00000104220	ENSMUST00000193416
ENSMUSG00000104223	ENSMUST00000194986
ENSMUSG00000089178	ENSMUST00000158553
ENSMUSG00000031636	ENSMUST00000034053
ENSMUSG00000089170	ENSMUST00000158545
ENSMUSG00000089175	ENSMUST00000158550
ENSMUSG00000089174	ENSMUST00000158549
ENSMUSG00000089177	ENSMUST00000158552
ENSMUSG00000023132	ENSMUST00000023897
ENSMUSG00000071414	ENSMUST00000166583
ENSMUSG00000071419	ENSMUST00000121788
ENSMUSG00000097586	ENSMUST00000181965
ENSMUSG00000034041	ENSMUST00000037165
ENSMUSG00000029272	ENSMUST00000031201
ENSMUSG00000105172	ENSMUST00000196193
ENSMUSG00000105173	ENSMUST00000196854
ENSMUSG00000105170	ENSMUST00000196041
ENSMUSG00000105171	ENSMUST00000198323
ENSMUSG00000105176	ENSMUST00000197014
ENSMUSG00000105177	ENSMUST00000196761
ENSMUSG00000105174	ENSMUST00000199224
ENSMUSG00000105175	ENSMUST00000196867
ENSMUSG00000105178	ENSMUST00000197584
ENSMUSG00000105179	ENSMUST00000195919
ENSMUSG00000094667	ENSMUST00000178434
ENSMUSG00000035397	ENSMUST00000038558
ENSMUSG00000094665	ENSMUST00000179101
ENSMUSG00000069299	ENSMUST00000091739
ENSMUSG00000069292	ENSMUST00000091732
